mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	slur
26	26	100	100	4.0	0	0	Chord	4/4	3	1	1	1	1	287	-li		
26	26	100	100	4.0	0	0	Chord	4/4	4	1	1	1	1	288	li		
26	26	100	100	4.0	0	0	Chord	4/4	5	1	1	1	1	289	-li		
27	27	105	105	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	290	E		
27	27	106	106	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	291	so-		
27	27	215/2	215/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	292	-vra  i		
27	27	104	104	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	293	so-		
27	27	211/2	211/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	294	-vra  i		
27	27	106	106	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	295	ver-		
27	27	107	107	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	296	-di		
27	27	106	106	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	297	E		
28	28	108	108	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	298	ver-		
28	28	109	109	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	299	-di		
28	28	110	110	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	300	ra-		
28	28	223/2	223/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	301	-mi  i		
28	28	108	108	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	302	ra-		
28	28	219/2	219/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	303	-mi  i		
28	28	110	110	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	304	vagh'		
28	28	111	111	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	305	au-		
28	28	108	108	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	306	so-		
28	28	110	110	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	307	-vra  i		
29	29	112	112	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	308	vagh'		
29	29	113	113	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	309	au-		
29	29	114	114	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	310	-gel-		
29	29	112	112	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	311	-gel-		10
29	29	113	113	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	312			10
29	29	115	115	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	313			
29	29	112	112	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	314	ver-		
29	29	114	114	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	315	-di		
30	30	116	116	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	316	-li		
30	30	117	117	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	317	Can-		
30	30	118	118	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	318	-tar		11
30	30	237/2	237/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	319			11
30	30	119	119	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	320			11
30	30	239/2	239/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	321			11
30	30	116	116	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	322	li		
30	30	117	117	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	323	Can-		
30	30	118	118	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	324	-tar		12
30	30	237/2	237/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	325			12
30	30	119	119	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	326			12
30	30	239/2	239/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	327			12
30	30	116	116	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	328	ra-		
30	30	118	118	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	329	-mi  i		
30	30	119	119	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	330	vagh'		
31	31	120	120	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	331			11
31	31	241/2	241/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	332			11
31	31	121	121	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	333			11
31	31	243/2	243/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	334			11
31	31	122	122	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	335			
31	31	123	123	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	336	so-		
31	31	120	120	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	337			12
31	31	241/2	241/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	338			12
31	31	121	121	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	339			12
31	31	243/2	243/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	340			12
31	31	122	122	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	341			
31	31	123	123	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	342	so-		
31	31	120	120	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	343			
31	31	121	121	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	344	au-		
31	31	122	122	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	345	-gel-		
32	32	124	124	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	346	-a-		
32	32	125	125	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	347	-ve-		
32	32	126	126	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	348	-men-		
32	32	124	124	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	349	-a-		
32	32	125	125	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	350	-ve-		
32	32	126	126	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	351	-men-		
32	32	124	124	4.0	0	0	Chord	4/4	3	1	1	1	1	352	-li		
33	33	128	128	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	353	-te		
33	33	129	129	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	354	E		
33	33	130	130	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	355	ri-		13
33	33	261/2	261/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	356			13
33	33	131	131	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	357			13
33	33	263/2	263/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	358			13
33	33	128	128	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	359	-te		
33	33	129	129	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	360	Can-		
33	33	130	130	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	361	-tar		
34	34	132	132	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	362			
34	34	133	133	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	363	der		
34	34	134	134	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	364	l'O-		14
34	34	269/2	269/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	365			14
34	34	135	135	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	366			14
34	34	271/2	271/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	367			14
34	34	133	133	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	368	E		
34	34	134	134	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	369	ri-		15
34	34	269/2	269/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	370			15
34	34	135	135	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	371			15
34	34	271/2	271/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	372			15
34	34	132	132	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	373	so-		
34	34	134	134	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	374	-a-		
35	35	136	136	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	375			14
35	35	273/2	273/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	376			14
35	35	137	137	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	377			
35	35	138	138	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	378	ri-		
35	35	139	139	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	379	-en-		16
35	35	136	136	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	380			
35	35	137	137	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	381	der		
35	35	138	138	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	382	l'O-		
35	35	139	139	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	383	-ri-		
35	35	136	136	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	384	-ve-		
35	35	138	138	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	385	-men-		
36	36	140	140	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	386			16
36	36	281/2	281/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	387			16
36	36	563/4	563/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	388			16
36	36	141	141	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	389			
36	36	142	142	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	390	te,		
36	36	140	140	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	391	-en-		
36	36	142	142	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	392	-te,		
36	36	140	140	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	393	-te,		
36	36	143	143	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	394	e		
36	36	141	141	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	395	E		
36	36	142	142	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	396	ri-		
37	37	145	145	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	397	e		
37	37	146	146	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	398	ri-		17
37	37	293/2	293/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	399			17
37	37	147	147	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	400			17
37	37	295/2	295/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	401			17
37	37	145	145	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	402	e		
37	37	146	146	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	403	ri-		18
37	37	295/2	295/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	404			18
37	37	144	144	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	405	ri-		19
37	37	289/2	289/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	406			19
37	37	145	145	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	407			19
37	37	291/2	291/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	408			19
37	37	146	146	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	409			
37	37	147	147	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	410	der		
37	37	144	144	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	411	-der		
37	37	146	146	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	412	l'O-		
38	38	148	148	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	413			
38	38	149	149	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	414	der		
38	38	150	150	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	415	l'O-		
38	38	151	151	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	416	-ri-		
38	38	148	148	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	417			
38	38	149	149	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	418	der		
38	38	150	150	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	419	l'O-		
38	38	151	151	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	420	-ri-		
38	38	148	148	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	421	l'O-		
38	38	149	149	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	422	-ri-		
38	38	150	150	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	423	-en-		20
38	38	151	151	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	424			20
38	38	148	148	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	425	-ri-		
38	38	150	150	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	426	-en-		
39	39	152	152	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	427	-en-		
39	39	154	154	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	428	-te		
39	39	152	152	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	429	-en		
39	39	154	154	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	430	te		
39	39	152	152	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	431			20
39	39	153	153	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	432			
39	39	154	154	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	433	te,		
39	39	152	152	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	434	-te		
40	40	156	156	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	435	Ec-		
40	40	157	157	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	436	-co		
40	40	315/2	315/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	437	gia		
40	40	158	158	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	438	l'alb'		
40	40	159	159	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	439	a-		
40	40	156	156	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	440	Ec-		
40	40	157	157	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	441	-co		
40	40	315/2	315/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	442	gia		
40	40	158	158	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	443	l'alb'		
40	40	159	159	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	444	ap-		
40	40	156	156	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	445	Ec-		
40	40	157	157	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	446	-co		
40	40	315/2	315/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	447	gia		
40	40	158	158	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	448	l'alb'		
40	40	159	159	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	449	ap-		
41	41	160	160	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	450	Ec-		
41	41	161	161	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	451	-co		
41	41	323/2	323/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	452	gia		
41	41	162	162	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	453	l'alb'		
41	41	163	163	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	454	ap-		
41	41	160	160	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	455	-pa-		
41	41	162	162	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	456	-re		
41	41	160	160	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	457	-pa-		
41	41	161	161	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	458	-re,		
41	41	160	160	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	459	Ec-		
41	41	161	161	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	460	-co		
41	41	323/2	323/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	461	gia		
41	41	162	162	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	462	l'alb'		
41	41	163	163	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	463	ap-		
41	41	160	160	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	464	-pa-		
41	41	161	161	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	465	-re,		
42	42	164	164	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	466	-pa-		
42	42	166	166	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	467	-re		
42	42	164	164	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	468	ec-		
42	42	165	165	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	469	-co		
42	42	331/2	331/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	470	gia		
42	42	166	166	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	471	l'alb'		
42	42	167	167	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	472	ap-		
42	42	164	164	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	473	-pa-		
42	42	166	166	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	474	-re		
42	42	164	164	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	475	ec-		
42	42	165	165	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	476	-co		
42	42	331/2	331/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	477	gia		
42	42	166	166	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	478	l'alb'		
42	42	167	167	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	479	ap-		
43	43	168	168	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	480	E		
43	43	170	170	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	481	si		
43	43	171	171	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	482	spec-		
43	43	168	168	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	483	E		
43	43	170	170	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	484	si		
43	43	171	171	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	485	spec-		
43	43	168	168	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	486	-pa-		
43	43	170	170	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	487	-re,		
43	43	168	168	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	488	-pa-		
43	43	170	170	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	489	-re		
44	44	172	172	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	490			
44	44	345/2	345/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	491	chia		
44	44	173	173	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	492	ne'l		
44	44	174	174	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	493	ma-		
44	44	172	172	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	494			
44	44	345/2	345/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	495	chia		
44	44	173	173	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	496	ne'l		
44	44	174	174	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	497	ma-		
44	44	172	172	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	498	ec-		
44	44	173	173	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	499	-co		
44	44	347/2	347/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	500	gia		
44	44	174	174	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	501	l'alb'		
44	44	175	175	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	502	ap-		
45	45	176	176	4.0	0	0	Chord	4/4	1	1	1	1	1	503	-re		
45	45	176	176	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	504	-re		
45	45	177	177	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	505	E		
45	45	178	178	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	506	ras-		
45	45	357/2	357/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	507	-se-		
45	45	179	179	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	508	-re-		
45	45	359/2	359/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	509	-na  il		
45	45	176	176	4.0	0	0	Chord	4/4	3	1	1	1	1	510	-pa-		
45	45	176	176	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	511	E		
45	45	178	178	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	512	si		
45	45	179	179	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	513	spec-		
45	45	176	176	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	514	E		
45	45	178	178	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	515	si		
45	45	179	179	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	516	spec-		
46	46	180	180	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	517	cie-		
46	46	181	181	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	518	-lo,		
46	46	180	180	4.0	0	0	Chord	4/4	3	1	1	1	1	519	-re		
46	46	180	180	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	520			
46	46	361/2	361/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	521	chia		
46	46	181	181	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	522	ne'l		
46	46	182	182	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	523	ma-		
46	46	180	180	0.5	0	0	Chord	4/4	5	1	1/8	1/8	1	524			
46	46	361/2	361/2	0.5	1/8	1/8	Chord	4/4	5	1	1/8	1/8	1	525	chia		
46	46	181	181	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	526	ne'l		
46	46	182	182	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	527	ma-		
47	47	185	185	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	528	E		
47	47	186	186	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	529	ras-		
47	47	373/2	373/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	530	-se-		
47	47	187	187	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	531	-re-		
47	47	375/2	375/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	532	-na  il		
47	47	184	184	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	533	E		
47	47	186	186	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	534	si		
47	47	187	187	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	535	spec-		
47	47	184	184	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	536	E		
47	47	186	186	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	537	si		
47	47	187	187	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	538	spec-		
47	47	184	184	4.0	0	0	Chord	4/4	4	1	1	1	1	539	-re		
47	47	184	184	4.0	0	0	Chord	4/4	5	1	1	1	1	540	-re		
48	48	188	188	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	541	cie-		
48	48	189	189	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	542	-lo		
48	48	188	188	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	543			
48	48	377/2	377/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	544	chia		
48	48	189	189	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	545	ne'l		
48	48	190	190	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	546	ma-		
48	48	188	188	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	547			
48	48	377/2	377/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	548	chia		
48	48	189	189	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	549	ne'l		
48	48	190	190	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	550	ma-		
48	48	189	189	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	551	E		
48	48	190	190	0.5	1/2	1/2	Chord	4/4	5	1	1/8	1/8	1	552	ras-		
48	48	381/2	381/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8	1/8	1	553	-se-		
48	48	191	191	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	554	-re-		
48	48	383/2	383/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	555	-na  il		
49	49	193	193	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	556	E'im-		
49	49	195	195	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	557	-per-		
49	49	192	192	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	558	-re,		
49	49	195	195	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	559	E		
49	49	192	192	4.0	0	0	Chord	4/4	3	1	1	1	1	560	-re		
49	49	193	193	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	561	E		
49	49	194	194	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	562	ras-		
49	49	389/2	389/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	563	-se-		
49	49	195	195	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	564	-re-		
49	49	391/2	391/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	565	-na  il		
49	49	192	192	4.0	0	0	Chord	4/4	5	1	1	1	1	566	cie-		
50	50	196	196	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	567			
50	50	197	197	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	568	la  il		
50	50	198	198	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	569	dol-		
50	50	199	199	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	570	-ce		
50	50	196	196	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	571	ras-		
50	50	393/2	393/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	572	-se-		
50	50	197	197	1.5	1/4	1/4	Chord	4/4	2	1	3/8	1/4	3/2	573	-re-		
50	50	397/2	397/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	574	-na  il		
50	50	199	199	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	575	cie-		21
50	50	197	197	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	576	E		
50	50	198	198	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	577	ras-		
