mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	26	
9	9	34	34	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	27	
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	28	
9	9	35	35	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	29	
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	30	
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1	1	1	31	
10	10	36	36	4.0	0	0	Chord	4/4	3	1	1	1	1	32	-ra
10	10	36	36	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	33	
10	10	38	38	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	34	-gon
10	10	39	39	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	35	la
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	36	so-
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	37	-spi-
11	11	41	41	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	38	so-
11	11	42	42	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	39	-spi-
11	11	40	40	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	40	greg-
11	11	41	41	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	41	-g'e
11	11	42	42	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	42	la
11	11	43	43	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	43	dol-
12	12	44	44	4.0	0	0	Chord	4/4	1	1	1	1	1	44	-ra
12	12	44	44	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	45	
12	12	46	46	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	46	-ra
12	12	44	44	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	47	-c'om-
12	12	45	45	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	48	-br'as-
12	12	46	46	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	49	-si-
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	50	E
13	13	50	50	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	51	quan-
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	52	-d'i
13	13	49	49	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	53	E
13	13	50	50	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	54	quan-
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	55	-d'i
13	13	48	48	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	56	-se
13	13	49	49	2.0	1/4	1/4	Chord	4/4	4	1	1/2	1/2	1	57	Ne
13	13	51	51	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	58	la
14	14	52	52	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	59	cal-
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	60	-di
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	61	rag-
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	62	-gi
14	14	52	52	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	63	cal-
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	64	-di
14	14	54	54	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	65	rag-
14	14	55	55	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	66	-gi
14	14	52	52	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	67	scor-
14	14	54	54	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	68	-za
14	14	55	55	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	69	de
15	15	56	56	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	70	fug-
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	71	
15	15	57	57	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	72	
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	73	
15	15	58	58	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	74	
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	75	
15	15	59	59	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	76	
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	77	
15	15	56	56	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	78	fug-
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	79	
15	15	57	57	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	80	
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	81	
15	15	58	58	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	82	
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	83	
15	15	59	59	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	84	
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	85	
15	15	56	56	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	86	Pi-
15	15	58	58	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	87	ni o
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	88	
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	89	-gon
16	16	63	63	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	90	la
16	16	60	60	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	91	
16	16	62	62	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	92	-gon
16	16	63	63	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	93	la
16	16	60	60	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	94	pur
16	16	62	62	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	95	de'
17	17	64	64	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	96	greg-
17	17	65	65	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	97	-g'e
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	98	la
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	99	dol-
17	17	64	64	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	100	greg-
17	17	65	65	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	101	-g'e
17	17	66	66	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	102	la
17	17	67	67	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	103	dol-
17	17	64	64	4.0	0	0	Chord	4/4	4	1	1	1	1	104	fag-
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	105	-c'om-
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	106	-br'as-
18	18	70	70	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	107	-si-
18	18	71	71	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	108	
18	18	68	68	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	109	-c'om-
18	18	69	69	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	110	-br'as-
18	18	70	70	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	111	-si-
18	18	68	68	4.0	0	0	Chord	4/4	4	1	1	1	1	112	
19	19	72	72	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	113	-se
19	19	73	73	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	114	Ne
19	19	75	75	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	115	la
19	19	72	72	4.0	0	0	Chord	4/4	2	1	1	1	1	116	Pia-
19	19	72	72	4.0	0	0	Chord	4/4	3	1	1	1	1	117	-se
19	19	72	72	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	118	-gi
19	19	74	74	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	119	se-
19	19	75	75	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	120	-gnò
20	20	76	76	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	121	scor-
20	20	78	78	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	122	-za
20	20	79	79	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	123	de
20	20	76	76	4.0	0	0	Chord	4/4	2	1	1	1	1	124	
20	20	77	77	2.0	1/4	1/4	Chord	4/4	3	1	1/2	1/2	1	125	Ne
20	20	79	79	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	126	la
20	20	76	76	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	127	
20	20	77	77	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	128	l'a-
20	20	78	78	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	129	-ma-
20	20	79	79	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	130	-to
21	21	80	80	4.0	0	0	Chord	4/4	1	1	1	1	1	131	Pi-
21	21	80	80	4.0	0	0	Chord	4/4	2	1	1	1	1	132	-gn'e
21	21	80	80	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	133	scor-
21	21	82	82	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	134	-za
21	21	83	83	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	135	de
21	21	80	80	4.0	0	0	Chord	4/4	4	1	1	1	1	136	no-
22	22	84	84	4.0	0	0	Chord	4/4	1	1	1	1	1	137	-ni
22	22	84	84	4.0	0	0	Chord	4/4	2	1	1	1	1	138	
22	22	84	84	4.0	0	0	Chord	4/4	3	1	1	1	1	139	Pi-
22	22	84	84	4.0	0	0	Chord	4/4	4	1	1	1	1	140	-m'in
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	141	o
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	142	pur
23	23	89	89	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	143	so-
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	144	-spi-
23	23	88	88	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	145	-ni
23	23	90	90	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	146	o
23	23	91	91	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	147	pur
23	23	88	88	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	148	mil-
23	23	90	90	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	149	-le
24	24	92	92	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	150	
24	24	93	93	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	151	de'
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	152	fag-
24	24	92	92	4.0	0	0	Chord	4/4	2	1	1	1	1	153	-ra,
24	24	92	92	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	154	
24	24	93	93	2.0	1/4	1/4	Chord	4/4	3	1	1/2	1/2	1	155	de'
24	24	95	95	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	156	fag-
24	24	92	92	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	157	gui-
24	24	94	94	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	158	-se
25	25	96	96	4.0	0	0	Chord	4/4	1	1	1	1	1	159	-gi
25	25	96	96	4.0	0	0	Chord	4/4	2	1	1	1	1	160	pia-
25	25	96	96	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	161	-gi
25	25	98	98	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	162	se-
25	25	99	99	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	163	-gnò
26	26	100	100	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	164	se-
26	26	101	101	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	165	-gnò
26	26	103	103	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	166	l'a-
26	26	100	100	4.0	0	0	Chord	4/4	2	1	1	1	1	167	
26	26	100	100	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	168	
26	26	101	101	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	169	l'a-
26	26	102	102	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	170	-ma-
26	26	103	103	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	171	-to
27	27	104	104	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	172	-ma-
27	27	105	105	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	173	-to
27	27	106	106	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	174	no-
27	27	104	104	4.0	0	0	Chord	4/4	2	1	1	1	1	175	-gn'e
27	27	104	104	4.0	0	0	Chord	4/4	3	1	1	1	1	176	no-
28	28	108	108	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	177	
28	28	110	110	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	178	-m'in
28	28	108	108	4.0	0	0	Chord	4/4	2	1	1	1	1	179	
28	28	108	108	4.0	0	0	Chord	4/4	3	1	1	1	1	180	-m'in
29	29	112	112	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	181	
29	29	114	114	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	182	mil-
29	29	113	113	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	183	so-
29	29	114	114	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	184	-spi-
29	29	229/2	229/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	185	
29	29	115	115	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	186	
29	29	231/2	231/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	187	
29	29	112	112	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	188	mil-
29	29	114	114	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	189	-le
30	30	116	116	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	190	
30	30	117	117	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	191	-le
30	30	118	118	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	192	gui-
30	30	116	116	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	193	
30	30	117	117	1.5	1/4	1/4	Chord	4/4	2	1	3/8	1/4	3/2	194	
30	30	237/2	237/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	195	
30	30	119	119	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	196	
30	30	239/2	239/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	197	
30	30	479/4	479/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	198	
30	30	116	116	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	199	gui-
30	30	118	118	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	200	-se
30	30	118	118	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	201	E
31	31	120	120	4.0	0	0	Chord	4/4	1	1	1	1	1	202	-se
31	31	120	120	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	203	
31	31	121	121	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	204	ra E
31	31	122	122	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	205	quan-
31	31	247/2	247/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	206	-d'i
31	31	120	120	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	207	E
31	31	123	123	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	208	de
31	31	247/2	247/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	209	la
31	31	120	120	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	210	
31	31	121	121	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	211	de
31	31	243/2	243/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	212	la
31	31	122	122	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	213	sua
31	31	123	123	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	214	for-
32	32	124	124	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	215	cal-
32	32	251/2	251/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	216	-di
32	32	126	126	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	217	rag-
32	32	127	127	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	218	-gi,
32	32	124	124	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	219	sua
32	32	125	125	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	220	for-
32	32	126	126	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	221	-tu-
32	32	127	127	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	222	na i
32	32	124	124	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	223	-tu-
32	32	125	125	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	224	na i
32	32	126	126	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	225	gra-
32	32	127	127	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	226	-v'ol-
33	33	129	129	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	227	e
33	33	130	130	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	228	quan-
33	33	263/2	263/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	229	-d'i
33	33	128	128	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	230	gra-
33	33	129	129	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	231	-v'ol-
33	33	130	130	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	232	-trag-
33	33	128	128	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	233	-trag-
33	33	130	130	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	234	-gi
33	33	131	131	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	235	E i
33	33	128	128	4.0	0	0	Chord	4/4	5	1	1	1	1	236	Pia-
34	34	132	132	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	237	cal-
34	34	267/2	267/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	238	-di
34	34	134	134	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	239	rag-
34	34	135	135	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	240	-gi
34	34	132	132	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	241	-gi
34	34	133	133	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	242	E i
34	34	134	134	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	243	va-
34	34	132	132	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	244	va-
34	34	133	133	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	245	-ri
34	34	134	134	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	246	ca-
34	34	132	132	4.0	0	0	Chord	4/4	5	1	1	1	1	247	
35	35	136	136	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	248	fug-
35	35	273/2	273/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	249	
35	35	137	137	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	250	
35	35	275/2	275/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	251	
35	35	138	138	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	252	
35	35	277/2	277/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	253	
35	35	139	139	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	254	
35	35	279/2	279/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	255	
35	35	136	136	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	256	-ri
35	35	138	138	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	257	ca-
35	35	136	136	4.0	0	0	Chord	4/4	4	1	1	1	1	258	-si
35	35	136	136	4.0	0	0	Chord	4/4	5	1	1	1	1	259	-gn'e
36	36	140	140	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	260	
36	36	142	142	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	261	-gon
36	36	143	143	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	262	la
36	36	140	140	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	263	
36	36	142	142	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	264	si in
36	36	142	142	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	265	in
36	36	140	140	4.0	0	0	Chord	4/4	5	1	1	1	1	266	
37	37	144	144	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	267	E
37	37	147	147	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	268	de
37	37	295/2	295/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	269	la
37	37	144	144	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	270	greg-
37	37	145	145	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	271	-g'e
37	37	146	146	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	272	la
37	37	147	147	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	273	dol-
37	37	144	144	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	274	du-
37	37	146	146	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	275	-ra
37	37	144	144	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	276	
37	37	146	146	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	277	du-
38	38	148	148	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	278	sua
38	38	149	149	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	279	for-
38	38	150	150	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	280	-tu-
38	38	151	151	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	281	na i
38	38	148	148	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	282	-c'om-
38	38	149	149	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	283	-br'as-
38	38	150	150	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	284	-si-
38	38	148	148	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	285	scor-
38	38	150	150	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	286	-z'in-
38	38	148	148	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	287	
38	38	150	150	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	288	-ra
39	39	152	152	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	289	gra-
39	39	153	153	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	290	-v'ol-
39	39	154	154	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	291	-trag-
39	39	152	152	4.0	0	0	Chord	4/4	2	1	1	1	1	292	-se
39	39	152	152	4.0	0	0	Chord	4/4	3	1	1	1	1	293	-ci-
39	39	152	152	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	294	scor-
39	39	154	154	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	295	-z'in-
40	40	156	156	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	296	-gi
40	40	157	157	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	297	E i
40	40	158	158	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	298	va-
40	40	159	159	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	299	-ri
40	40	157	157	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	300	Ne
40	40	159	159	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	301	la
