mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
5	5	26	26	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	41	-mi	-za	-ta						
5	5	29	29	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	42	mo-	la	se						
5	5	24	24	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	43	-mar-	-rez-	-pet-						
5	5	26	26	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	44	-mi	-za	-ta						
5	5	29	29	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	45	mo-	la	se						
5	5	24	24	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	46	-mar-	-rez-	-pet-						
5	5	26	26	3.0	1/2	1/2	Chord	3/2	3	1	3/4	1/2	3/2	47	-mi	-za	-ta						
5	5	29	29	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	48	mo-	la	se						
5	5	24	24	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	49									
5	5	26	26	3.0	1/2	1/2	Chord	3/2	4	1	3/4	1/2	3/2	50									
5	5	29	29	1.0	5/4	5/4	Chord	3/2	4	1	1/4	1/4	1	51									
6	6	30	30	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	52	-stra-	stol-	sco-						
6	6	32	32	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	53	-vi	-ta	-glio						
6	6	35	35	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	54	d'a-	fie-	m'as-						
6	6	30	30	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	55	-stra-	stol-	sco-						
6	6	32	32	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	56	-vi	-ta	-glio						
6	6	35	35	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	57	d'a-	fie-	m'as-						
6	6	30	30	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	58	-stra-	stol-	sco-						
6	6	32	32	3.0	1/2	1/2	Chord	3/2	3	1	3/4	1/2	3/2	59	-vi	-ta	-glio						
6	6	35	35	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	60	d'a-	fie-	m'as-						
6	6	30	30	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	61									
6	6	32	32	3.0	1/2	1/2	Chord	3/2	4	1	3/4	1/2	3/2	62									
6	6	35	35	1.0	5/4	5/4	Chord	3/2	4	1	1/4	1/4	1	63									
7	7	36	36	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	64	-mar-	-rez-	-pet-						
7	7	38	38	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	65	-mi	-za	-ta						
7	7	41	41	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	66	per	non	driz-						
7	7	36	36	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	67	-mar-	-rez-	-pet-						
7	7	38	38	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	68	-mi	-za	-ta						
7	7	41	41	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	69	per	non	driz-						
7	7	36	36	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	70	-mar-	-rez-	-pet-						
7	7	38	38	3.0	1/2	1/2	Chord	3/2	3	1	3/4	1/2	3/2	71	-mi	-za	-ta						
7	7	41	41	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	72	per	non	driz-						
7	7	36	36	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	73									
7	7	38	38	3.0	1/2	1/2	Chord	3/2	4	1	3/4	1/2	3/2	74									
7	7	41	41	1.0	5/4	5/4	Chord	3/2	4	1	1/4	1/4	1	75									
8	8	42	42	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	76	sol	bra-	-zar						
8	8	44	44	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	77	in-	-mi	la						
8	8	47	47	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	78	-ga-	chi	bar-						
8	8	42	42	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	79	sol	bra-	-zar						
8	8	44	44	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	80	in-	-mi	la						
8	8	47	47	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	81	-ga-	chi	bar-						
8	8	42	42	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	82	sol	bra-	-zar						
8	8	44	44	3.0	1/2	1/2	Chord	3/2	3	1	3/4	1/2	3/2	83	in-	-mi	la						
8	8	47	47	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	84	-ga-	chi	bar-						
8	8	42	42	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	85									
8	8	44	44	3.0	1/2	1/2	Chord	3/2	4	1	3/4	1/2	3/2	86									
8	8	47	47	1.0	5/4	5/4	Chord	3/2	4	1	1/4	1/4	1	87									
9	9	48	48	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	88	-nar-	sprez-	-chet-						
9	9	50	50	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	89	-mi	-za.	-ta.						
9	9	52	52	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	90	A-	A-	Pi-						
9	9	48	48	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	91	-nar-	sprez-	-chet-						
9	9	50	50	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	92	-mi	-za.	-ta.						
9	9	52	52	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	93	A-	A-	Pi-						
9	9	48	48	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	94	-nar-	sprez-	-chet-						
9	9	50	50	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	95	-mi	-za.	-ta.						
9	9	52	52	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	96	A-	A-	Pi-						
9	9	48	48	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	97									
9	9	50	50	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	98									
9	9	52	52	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	99									
10	10	54	54	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	100	-hi	-hi,	-ù						
10	10	55	55	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	101	Ste-	ch'i-	fie-						
10	10	223/4	223/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	102									
10	10	54	54	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	103	-hi	-hi,	-ù						
10	10	55	55	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	104	Ste-	ch'i-	fie-						
10	10	54	54	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	105	-hi	-hi,	-ù						
10	10	55	55	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	106	Ste-	ch'i-	fie-						
10	10	54	54	1.0	0	0	Chord	2/4	4	1	1/4	1/4	1	107									
10	10	55	55	1.0	1/4	1/4	Chord	2/4	4	1	1/4	1/4	1	108									
11	11	56	56	4.0	0	0	Chord	3/2	1	1	1	1	1	109	-lla	-o	-ra,						
11	11	60	60	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	110	ti	vuo'	que						
11	11	56	56	4.0	0	0	Chord	3/2	2	1	1	1	1	111	-lla	-o	-ra,						
11	11	60	60	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	112	ti	vuo'	que						
11	11	56	56	4.0	0	0	Chord	3/2	3	1	1	1	1	113	-lla	-o	-ra,						
11	11	60	60	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	114	ti	vuo'	que						
11	11	56	56	4.0	0	0	Chord	3/2	4	1	1	1	1	115									
11	11	60	60	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	116									
12	12	62	62	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	117	se	dir	st'em-						
12	12	64	64	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	118	co-	al	-pia						
12	12	67	67	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	119	-sì	cor	meg-						
12	12	62	62	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	120	se	dir	st'em-						
12	12	64	64	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	121	co-	al	-pia						
12	12	67	67	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	122	-sì	cor	meg-						
12	12	62	62	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	123	se	dir	st'em-						
12	12	64	64	3.0	1/2	1/2	Chord	3/2	3	1	3/4	1/2	3/2	124	co-	al	-pia						
12	12	67	67	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	125	-sì	cor	meg-						
12	12	62	62	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	126									
12	12	64	64	3.0	1/2	1/2	Chord	3/2	4	1	3/4	1/2	3/2	127									
12	12	67	67	1.0	5/4	5/4	Chord	3/2	4	1	1/4	1/4	1	128									
13	13	68	68	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	129	be-	mi-	-e-						
13	13	70	70	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	130	-lla	-o	-ra						
13	13	73	73	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	131	si	che	uc-						
13	13	68	68	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	132	be-	mi-	-e-						
13	13	70	70	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	133	-lla	-o	-ra						
13	13	73	73	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	134	si	che	uc-						
13	13	68	68	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	135	be-	mi-	-e-						
13	13	70	70	3.0	1/2	1/2	Chord	3/2	3	1	3/4	1/2	3/2	136	-lla	-o	-ra						
13	13	73	73	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	137	si	che	uc-						
13	13	68	68	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	138									
13	13	70	70	3.0	1/2	1/2	Chord	3/2	4	1	3/4	1/2	3/2	139									
13	13	73	73	1.0	5/4	5/4	Chord	3/2	4	1	1/4	1/4	1	140									
14	14	74	74	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	141	fe-	fug-	-ci-						
14	14	76	76	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	142	-ra	-ga	-de,						
14	14	79	79	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	143	si'al-	che	s'en						
14	14	74	74	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	144	fe-	fug-	-ci-						
14	14	76	76	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	145	-ra	-ga,	-de,						
14	14	79	79	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	146	si'al-	che	s'en						
14	14	74	74	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	147	fe-	fug-	-ci-						
14	14	76	76	3.0	1/2	1/2	Chord	3/2	3	1	3/4	1/2	3/2	148	-ra	-ga,	-de,						
14	14	79	79	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	149	si'al-	che	s'en						
14	14	74	74	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	150									
14	14	76	76	3.0	1/2	1/2	Chord	3/2	4	1	3/4	1/2	3/2	151									
14	14	79	79	1.0	5/4	5/4	Chord	3/2	4	1	1/4	1/4	1	152									
15	15	80	80	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	153	-te-	strug-	ri-						
15	15	82	82	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	154	-ra	-ga	-d'e						
15	15	85	85	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	155	per	l'in-	ri-						
15	15	80	80	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	156	-te-	strug-	ri-						
15	15	82	82	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	157	-ra	-ga	-d'e						
15	15	85	85	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	158	per	l'in-	ri-						
15	15	80	80	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	159	-te-	strug-	ri-						
15	15	82	82	3.0	1/2	1/2	Chord	3/2	3	1	3/4	1/2	3/2	160	-ra	-ga	-d'e						
15	15	85	85	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	161	per	l'in-	ri-						
15	15	80	80	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	162									
15	15	82	82	3.0	1/2	1/2	Chord	3/2	4	1	3/4	1/2	3/2	163									
15	15	85	85	1.0	5/4	5/4	Chord	3/2	4	1	1/4	1/4	1	164									
16	16	86	86	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	165	l'al-	-fi-	-den-						
16	16	88	88	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	166	-ma'im	-da	-do						
16	16	91	91	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	167	pia-	be-	sa-						
16	16	86	86	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	168	l'al-	-fi-	-den-						
16	16	88	88	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	169	-ma'im	-da	-do						
16	16	91	91	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	170	pia-	be-	sa-						
16	16	86	86	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	171	l'al-	-fi-	-den-						
16	16	88	88	3.0	1/2	1/2	Chord	3/2	3	1	3/4	1/2	3/2	172	-ma'im	-da	-do						
16	16	91	91	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	173	pia-	be-	sa-						
16	16	86	86	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	174									
16	16	88	88	3.0	1/2	1/2	Chord	3/2	4	1	3/4	1/2	3/2	175									
16	16	91	91	1.0	5/4	5/4	Chord	3/2	4	1	1/4	1/4	1	176									
17	17	92	92	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	177	-gar-	-llez-	-et-						
17	17	94	94	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	178	-mi	-za.	-ta.						
17	17	92	92	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	179	-gar-	-llez-	-et-						
17	17	94	94	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	180	-mi	-za.	-ta.						
17	17	92	92	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	181	-gar-	-llez-	-et-						
17	17	94	94	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	182	-mi	-za.	-ta.						
17	17	92	92	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	183									
17	17	94	94	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	184									
18	18	98	98	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0
18	18	393/4	393/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	185	Io	For-	Chia-						
18	18	197/2	197/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	186	t'a-	-se'a	-ma						
18	18	395/4	395/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	187	-do-	te	pur						
18	18	99	99	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	188	-ra-	toc-	quan-						
18	18	393/4	393/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	189	Io	For-	Chia-						
18	18	197/2	197/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	190	t'a-	-se'a	-ma						
18	18	395/4	395/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	191	-do-	te	pur						
18	18	99	99	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	192	-ra-	toc-	quan-						
18	18	393/4	393/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16	1/16	1	193	Io	For-	Chia-						
18	18	197/2	197/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16	1/16	1	194	t'a-	-se'a	-ma						
18	18	395/4	395/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16	1/16	1	195	-do-	te	pur						
18	18	99	99	0.75	1/4	1/4	Chord	2/4	3	1	3/16	1/8	3/2	196	-ra-	toc-	quan-						
18	18	399/4	399/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	197	-va'e	-che-	-to						
18	18	98	98	0.75	0	0	Chord	2/4	4	1	3/16	1/8	3/2	198									
18	18	395/4	395/4	0.25	3/16	3/16	Chord	2/4	4	1	1/16	1/16	1	199									
18	18	99	99	1.0	1/4	1/4	Chord	2/4	4	1	1/4	1/4	1	200									
19	19	100	100	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	201									
19	19	201/2	201/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	202	-va'e	-che-	-to						
19	19	101	101	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	203	tù	-ra	voi,						
19	19	203/2	203/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	204	sprez-	chie-	ch'io						
19	19	100	100	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	205									
19	19	201/2	201/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	206	-va'e	-che-	-to						
19	19	101	101	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	207	tù	-ra	voi,						
19	19	203/2	203/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	208	sprez-	chie-	ch'io						
19	19	100	100	1.5	0	0	Chord	2/4	3	1	3/8	1/4	3/2	209	tù	-ra	voi,						
19	19	203/2	203/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	210	sprez-	chie-	ch'io						
19	19	100	100	1.0	0	0	Chord	2/4	4	1	1/4	1/4	1	211									
19	19	101	101	0.5	1/4	1/4	Chord	2/4	4	1	1/8	1/8	1	212									
19	19	203/2	203/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8	1/8	1	213									
20	20	102	102	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	214	-za-	-der	non						
20	20	207/2	207/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	215	-vi	pie-	ve-						
20	20	102	102	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	216	-za-	-der	non						
20	20	103	103	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	217	-vi	pie-	ve-						
20	20	102	102	1.5	0	0	Chord	2/4	3	1	3/8	1/4	3/2	218	-za-	-der	non						
20	20	207/2	207/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	219	-vi	pie-	ve-						
20	20	102	102	2.0	0	0	Chord	2/4	4	1	1/2	1/2	1	220									
21	21	104	104	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	221	me	-tà,	-rrò,						
21	21	105	105	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	222	Em-	Em-	Em-						
21	21	423/4	423/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	223	-pia	-pia	-pia						
21	21	104	104	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	224	me	-tà,	-rrò,						
21	21	104	104	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	225	me.	-tà,	-rrò,						
21	21	104	104	0.0	0	0	StaffText	2/4	4	1	0							"<font size=""6.9759""/><font face=""Times New Roman""/><b>9-10</b>"					
21	21	104	104	2.0	0	0	Chord	2/4	4	1	1/2	1/2	1	226									
22	22	106	106	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	227	Fi-	Fi-	Fi-						
22	22	213/2	213/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	228	-lli	-lli	-lli,						
22	22	107	107	0.75	1/4	1/4	Chord	2/4	2	1	3/16	1/8	3/2	229	Em-	Em-	Em-						
22	22	431/4	431/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	230	-pia	-pia	-pia						
22	22	106	106	2.0	0	0	Chord	2/4	4	1	1/2	1/2	1	231									
23	23	108	108	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	232	Fi-	Fi-	Fi-						
23	23	217/2	217/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	233	-lli	-lli,	-lli,						
23	23	109	109	0.75	1/4	1/4	Chord	2/4	3	1	3/16	1/8	3/2	234	Em-	Em-	Em-						
23	23	439/4	439/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	235	-pia	-pia	-pia						
23	23	108	108	1.0	0	0	Chord	2/4	4	1	1/4	1/4	1	236									
23	23	109	109	0.0	1/4	1/4	StaffText	2/4	4	1	0							"<font size=""6.9759""/><font face=""Times New Roman""/><b>6-7</b>"					
23	23	109	109	1.0	1/4	1/4	Chord	2/4	4	1	1/4	1/4	1	237									
24	24	223/2	223/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	238	per-	chis-	no						
24	24	223/2	223/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	239	per-	chis-	no						
24	24	110	110	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	240	Fi-	Fi-	Fi-						
24	24	221/2	221/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	241	-lli	-lli,	-lli,						
24	24	223/2	223/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	242	per-	chis-	no						
24	24	110	110	1.0	0	0	Chord	2/4	4	1	1/4	1/4	1	243									
24	24	223/2	223/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8	1/8	1	244									
25	25	112	112	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	245	-ché	-sà,	no,						
25	25	227/2	227/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	246	per-	chis-	no						
25	25	112	112	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	247	-ché	-sà,	no,						
25	25	227/2	227/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	248	per-	chis-	no						
25	25	112	112	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	249	-ché	-sà,	no,						
25	25	227/2	227/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	250	per-	chis-	no						
25	25	112	112	1.0	0	0	Chord	2/4	4	1	1/4	1/4	1	251									
25	25	227/2	227/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8	1/8	1	252									
