mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	slur	TextLine
24	24	187/2	187/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	284	-tu-		
24	24	94	94	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	285	-us-		
24	24	95	95	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	286	-que		
24	24	92	92	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	287	A		
24	24	94	94	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	288	so-		
24	24	95	95	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	289	-lis		
25	25	96	96	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	290	ad	17	
25	25	99	99	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	291		17	
25	25	199/2	199/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	292		17	
25	25	96	96	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	293	A		
25	25	98	98	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	294	so-		
25	25	99	99	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	295	-lis		
25	25	96	96	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	296	or-		
25	25	195/2	195/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	297	-tu		
25	25	98	98	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	298	us-		
25	25	99	99	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	299	-que		
26	26	100	100	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	300			
26	26	102	102	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	301	oc-		
26	26	100	100	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	302	or-		
26	26	203/2	203/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	303	-tu		
26	26	102	102	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	304	us-		
26	26	103	103	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	305	-que		
26	26	100	100	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	306	ad	18	
26	26	103	103	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	307		18	
26	26	207/2	207/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	308		18	
26	26	100	100	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	309	A		
26	26	102	102	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	310	so-		
26	26	103	103	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	311	-lis		
27	27	104	104	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	312	-ca-		
27	27	106	106	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	313	-sum		
27	27	104	104	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	314	ad	19	
27	27	107	107	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	315		19	
27	27	215/2	215/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	316		19	
27	27	104	104	0.0	0	0	Spanner	4/4	3	1	0						3
27	27	104	104	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	317			3
27	27	106	106	0.0	1/2	1/2	Spanner	4/4	3	1	0						
27	27	106	106	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	318	oc-		
27	27	104	104	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	319	A		
27	27	106	106	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	320	so-		
27	27	107	107	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	321	-lis		
27	27	104	104	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	322	or-		
27	27	211/2	211/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	323	-tu		
27	27	106	106	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	324	us-		
27	27	107	107	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	325	-que		
28	28	108	108	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	326	ad		
28	28	110	110	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	327	oc-		
28	28	108	108	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	328			
28	28	110	110	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	329	oc-		
28	28	108	108	4.0	0	0	Chord	4/4	3	1	1	1	1	330	-ca-	20	
28	28	108	108	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	331	or-		
28	28	219/2	219/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	332	-tu		
28	28	110	110	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	333	us-		
28	28	111	111	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	334	-que		
28	28	108	108	3.0	0	0	Chord	4/4	5	1	3/4	1/2	3/2	335	ad	21	
28	28	111	111	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	336		21	
28	28	223/2	223/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	337		21	
29	29	112	112	4.0	0	0	Chord	4/4	1	1	1	1	1	338	-ca-		
29	29	112	112	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	339	-ca-	22	
29	29	114	114	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	340		22	
29	29	112	112	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	341		20	
29	29	114	114	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	342		20	
29	29	112	112	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	343	ad		
29	29	114	114	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	344	oc-		
29	29	112	112	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	345			
29	29	113	113	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	346	oc-		
29	29	114	114	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	347	-ca-	23	
29	29	115	115	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	348		23	
29	29	231/2	231/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	349		23	
30	30	116	116	4.0	0	0	Chord	4/4	1	1	1	1	1	350			
30	30	116	116	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	351		22	
30	30	117	117	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	352		22	
30	30	119	119	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	353			
30	30	116	116	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	354		20	
30	30	117	117	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	355		20	
30	30	118	118	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	356			
30	30	116	116	4.0	0	0	Chord	4/4	4	1	1	1	1	357	-ca-		
30	30	116	116	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	358		23	
30	30	117	117	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	359		23	
30	30	118	118	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	360			
31	31	120	120	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	361	-sum		
31	31	123	123	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	362	Lau-		
31	31	120	120	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	363	-sum		
31	31	120	120	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	364	-sum		
31	31	120	120	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	365	-sum		
31	31	120	120	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	366	-sum		
32	32	124	124	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	367	-da-		
32	32	125	125	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	368	-bi-		
32	32	251/2	251/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	369	-le		
32	32	126	126	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	370	no-		
32	32	127	127	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	371	-men		
32	32	125	125	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	372	Lau-		
32	32	126	126	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	373	-da-		
32	32	127	127	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	374	-bi-		
32	32	255/2	255/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	375	-le		
33	33	128	128	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	376	Do-		
33	33	259/2	259/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	377	-mi-		
33	33	130	130	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	378	-ni		
33	33	131	131	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	379	Lau-		
33	33	128	128	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	380	no-		
33	33	129	129	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	381	-men		
33	33	130	130	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	382	Do-		
33	33	263/2	263/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	383	-mi-		
33	33	131	131	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	384	Lau-		
33	33	129	129	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	385	Lau-		
33	33	130	130	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	386	-da-		
33	33	131	131	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	387	-bi-		
33	33	263/2	263/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	388	-le		
34	34	132	132	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	389	-da-	24	
34	34	265/2	265/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	390		24	
34	34	133	133	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	391		24	
34	34	267/2	267/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	392		24	
34	34	134	134	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	393			
34	34	271/2	271/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	394	-bi-		
34	34	132	132	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	395	-ni		
34	34	133	133	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	396	Lau-		
34	34	134	134	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	397	-da-	25	
34	34	269/2	269/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	398		25	
34	34	135	135	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	399		25	
34	34	271/2	271/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	400		25	
34	34	132	132	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	401	-da-		
34	34	133	133	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	402	-bi-		
34	34	267/2	267/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	403	-le		
34	34	134	134	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	404	no-		
34	34	135	135	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	405	-men		
34	34	132	132	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	406	no-		
34	34	133	133	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	407	-men		
34	34	134	134	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	408	Do-		
34	34	271/2	271/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	409	-mi-		
34	34	135	135	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	410	Lau-		
35	35	136	136	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	411	-le		
35	35	139	139	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	412	Lau-		
35	35	136	136	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	413			
35	35	275/2	275/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	414	-bi-		
35	35	138	138	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	415	-le		
35	35	136	136	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	416	Do-		
35	35	275/2	275/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	417	-mi-		
35	35	138	138	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	418	-ni		
35	35	136	136	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	419	-ni		
35	35	137	137	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	420	Lau-		
35	35	138	138	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	421	-da-	26	
35	35	277/2	277/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	422		26	
35	35	139	139	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	423		26	
35	35	279/2	279/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	424		26	
35	35	136	136	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	425	-da-		
35	35	137	137	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	426	-bi-		
35	35	275/2	275/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	427	-le		
35	35	138	138	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	428	no-		
36	36	140	140	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	429	-da-		
36	36	141	141	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	430	-bi-		
36	36	283/2	283/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	431	-le		
36	36	142	142	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	432	no-		
36	36	141	141	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	433	Lau-		
36	36	142	142	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	434	-da-	27	
36	36	285/2	285/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	435		27	
36	36	143	143	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	436		27	
36	36	287/2	287/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	437		27	
36	36	141	141	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	438	Lau-		
36	36	142	142	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	439	-da-	28	
36	36	285/2	285/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	440		28	
36	36	143	143	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	441		28	
36	36	287/2	287/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	442		28	
36	36	140	140	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	443			
36	36	283/2	283/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	444	-bi-		
36	36	142	142	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	445	-le		
36	36	143	143	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	446	Lau-		
36	36	140	140	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	447	-men		
36	36	141	141	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	448	Lau-		
36	36	142	142	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	449	-da-		
36	36	143	143	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	450	-bi-		
36	36	287/2	287/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	451	-le		
37	37	144	144	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	452	-men		
37	37	146	146	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	453	Do-	29	
37	37	293/2	293/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	454		29	
37	37	147	147	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	455		29	
37	37	295/2	295/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	456		29	
37	37	144	144	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	457			
37	37	146	146	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	458	-bi-		
37	37	147	147	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	459	-le		
37	37	144	144	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	460			
37	37	145	145	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	461	-bi-		
37	37	146	146	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	462	-le		
37	37	144	144	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	463	-da-		
37	37	145	145	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	464	-bi-		
37	37	146	146	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	465	-le		
37	37	144	144	0.5	0	0	Chord	4/4	5	1	1/8	1/8	1	466	no-	30	
37	37	289/2	289/2	0.5	1/8	1/8	Chord	4/4	5	1	1/8	1/8	1	467		30	
37	37	145	145	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	468		30	
37	37	291/2	291/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	469		30	
37	37	146	146	0.5	1/2	1/2	Chord	4/4	5	1	1/8	1/8	1	470		30	
37	37	293/2	293/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8	1/8	1	471		30	
37	37	147	147	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	472		30	
37	37	295/2	295/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	473	-men		
38	38	148	148	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	474	-­-	29	
38	38	149	149	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	475			
38	38	151	151	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	476			
38	38	148	148	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	477	no-		
38	38	149	149	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	478	-men		
38	38	150	150	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	479	Do-		
38	38	303/2	303/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	480	-mi-		
38	38	148	148	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	481	no-		
38	38	149	149	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	482	-men		
38	38	150	150	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	483	Do-		
38	38	303/2	303/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	484	-mi-		
38	38	148	148	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	485	no-		
38	38	149	149	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	486	-men		
38	38	150	150	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	487	Do-		
38	38	303/2	303/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	488	-mi-		
38	38	148	148	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	489	no-		
38	38	149	149	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	490	-men		
38	38	150	150	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	491	Do-		
38	38	303/2	303/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	492	-mi-		
39	39	152	152	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	493	-ni.		
39	39	155	155	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	494	Ex-		
39	39	152	152	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	495	-ni.		
39	39	155	155	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	496	Ex-		
39	39	152	152	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	497	-ni.		
39	39	152	152	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	498	-ni.		
39	39	155	155	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	499	Ex-		
39	39	152	152	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	500	-ni.		
40	40	156	156	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	501	-cel-		
40	40	315/2	315/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	502	-sus		
40	40	158	158	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	503	su-		
40	40	159	159	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	504	-per		
40	40	156	156	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	505	-cel-		
40	40	315/2	315/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	506	-sus		
40	40	158	158	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	507	su-		
40	40	159	159	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	508	-per		
40	40	156	156	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	509	-cel-		
40	40	315/2	315/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	510	-sus		
40	40	158	158	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	511	su-		
40	40	159	159	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	512	-per		
41	41	160	160	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	513	om-		
41	41	323/2	323/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	514	-nes		
41	41	162	162	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	515	gen-		
41	41	163	163	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	516	-tes		
41	41	160	160	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	517	om-		
41	41	323/2	323/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	518	-nes		
41	41	162	162	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	519	gen-		
41	41	163	163	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	520	-tes		
41	41	160	160	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	521	om-		
41	41	323/2	323/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	522	-nes		
41	41	162	162	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	523	gen-		
41	41	163	163	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	524	-tes		
42	42	164	164	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	525	Do-	31	
42	42	329/2	329/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	526		31	
42	42	165	165	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	527		31	
42	42	331/2	331/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	528		31	
42	42	166	166	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	529			
42	42	335/2	335/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	530	-mi-		
42	42	164	164	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	531	Do-	32	
42	42	329/2	329/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	532		32	
42	42	165	165	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	533			
42	42	167	167	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	534	-mi-		
42	42	164	164	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	535	Do-	33	
42	42	329/2	329/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	536		33	
42	42	165	165	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	537		33	
42	42	331/2	331/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	538		33	
42	42	166	166	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	539			
42	42	335/2	335/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	540	-mi-		
43	43	168	168	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	541	-­nus		
43	43	169	169	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	542	et		
43	43	170	170	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	543	su-		
43	43	171	171	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	544	-per		
43	43	168	168	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	545	-­nus		
43	43	169	169	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	546	et		
43	43	171	171	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	547	su-		
43	43	168	168	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	548	et		
43	43	170	170	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	549	su-		
43	43	168	168	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	550	-­nus		
43	43	171	171	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	551	et		
43	43	170	170	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	552	et		
44	44	172	172	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	553	Cæ-		
44	44	173	173	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	554	-los		
44	44	174	174	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	555	su-		
44	44	175	175	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	556	-per		
44	44	172	172	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	557			
44	44	173	173	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	558	-per		
44	44	175	175	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	559	Cæ-	34	
44	44	172	172	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	560	-per		
44	44	174	174	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	561	Cæ-		
44	44	172	172	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	562	su-		
44	44	173	173	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	563	-per		
44	44	174	174	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	564	Cæ-		
44	44	175	175	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	565	-los		
44	44	172	172	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	566	su-		
44	44	174	174	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	567	-per		
45	45	176	176	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	568	Cæ-		
45	45	178	178	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	569	-los		
45	45	179	179	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	570	et		
