mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm
38	38	348	4.0	2	2	Chord	3/1	2	1	1			1	1	345	già			
38	38	340	4.0	0	0	Chord	3/1	3	1	1			1	1	346	bel-			
38	38	344	2.0	1	1	Chord	3/1	3	1	1/2			1/2	1	347	va			
38	38	346	4.0	3/2	3/2	Chord	3/1	3	1	1			1	1	348	non			
38	38	350	2.0	5/2	5/2	Chord	3/1	3	1	1/2			1/2	1	349	son			
38	38	340	4.0	0	0	Chord	3/1	4	1	1			1	1	350				
38	38	344	2.0	1	1	Chord	3/1	4	1	1/2			1/2	1	351				
38	38	346	4.0	3/2	3/2	Chord	3/1	4	1	1			1	1	352				
38	38	350	2.0	5/2	5/2	Chord	3/1	4	1	1/2			1/2	1	353				
39	39	352	3.0	0	0	Chord	3/1	1	1	3/4			1/2	3/2	354	squal-			
39	39	355	1.0	3/4	3/4	Chord	3/1	1	1	1/4			1/4	1	355	li-			
39	39	356	4.0	1	1	Chord	3/1	1	1	1			1	1	356	do			
39	39	352	4.0	0	0	Chord	3/1	2	1	1			1	1	357	bel-			
39	39	356	2.0	1	1	Chord	3/1	2	1	1/2			1/2	1	358	va			
39	39	358	4.0	3/2	3/2	Chord	3/1	2	1	1			1	1	359	non			
39	39	362	2.0	5/2	5/2	Chord	3/1	2	1	1/2			1/2	1	360	son			
39	39	352	4.0	0	0	Chord	3/1	3	1	1			1	1	361	io			
39	39	356	2.0	1	1	Chord	3/1	3	1	1/2			1/2	1	362	nè			
39	39	358	4.0	3/2	3/2	Chord	3/1	3	1	1			1	1	363	ser-			
39	39	362	2.0	5/2	5/2	Chord	3/1	3	1	1/2			1/2	1	364	pe			
39	39	352	4.0	0	0	Chord	3/1	4	1	1			1	1	365				
39	39	356	2.0	1	1	Chord	3/1	4	1	1/2			1/2	1	366				
39	39	358	4.0	3/2	3/2	Chord	3/1	4	1	1			1	1	367				
39	39	362	2.0	5/2	5/2	Chord	3/1	4	1	1/2			1/2	1	368				
40	40	365	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	369	nè			
40	40	366	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	370	ser-			
40	40	364	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	371	io			
40	40	367	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	372	nè			
40	40	364	4.0	0	0	Chord	4/4	3	1	1			1	1	373	squal-			
40	40	364	4.0	0	0	Chord	4/4	4	1	1			1	1	374				
41	41	368	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	375	pe			
41	41	369	2.0	1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	376	squal-			
41	41	371	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	377	li-			
41	41	368	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	378	ser-			
41	41	369	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	379	pe			
41	41	370	1.5	1/2	1/2	Chord	4/4	2	1	3/8			1/4	3/2	380	squal-			
41	41	743/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	381	li-			
41	41	368	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	382	-			
41	41	370	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	383	li-			
41	41	368	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	384				
41	41	370	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	385				
42	42	372	4.0	0	0	Chord	4/4	1	1	1			1	1	386	do			
42	42	372	4.0	0	0	Chord	4/4	2	1	1			1	1	387	do			
42	42	372	4.0	0	0	Chord	4/4	3	1	1			1	1	388	do			
42	42	372	4.0	0	0	Chord	4/4	4	1	1			1	1	389				
43	43	753/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	390	A-			
43	43	377	2.0	1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	391	min-			
43	43	379	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	392	ta io			
43	43	376	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	393				
43	43	378	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	394				
44	44	380	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	395	son			
44	44	763/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	396	se			
44	44	382	0.75	1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	397	ben			
44	44	1531/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	398	son			
44	44	383	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	399	ma-			
44	44	380	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	400				
44	44	382	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	401				
45	45	384	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	402	-			
45	45	385	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	403	gro			
45	45	769/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	404	A-			
45	45	385	2.0	1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	405	min-			
45	45	387	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	406	ta io			
45	45	387	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	407	se			
45	45	384	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	408				
45	45	386	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	409				
45	45	387	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	410				
46	46	388	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	411	son			
46	46	391	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	412	se			
46	46	388	0.75	0	0	Chord	4/4	3	1	3/16			1/8	3/2	413	ben			
46	46	1555/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16			1/16	1	414	son			
46	46	389	2.0	1/4	1/4	Chord	4/4	3	1	1/2			1/2	1	415	ma-			
46	46	391	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	416	gro			
46	46	388	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	417				
46	46	390	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	418				
47	47	392	0.75	0	0	Chord	4/4	2	1	3/16			1/8	3/2	419	ben			
47	47	1571/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	420	son			
47	47	393	2.0	1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	421	ma-			
47	47	395	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	422	gro			
47	47	395	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	423	se			
47	47	392	4.0	0	0	Chord	4/4	4	1	1			1	1	424				
48	48	399	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	425	se			
48	48	399	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	426	se			
48	48	396	0.75	0	0	Chord	4/4	3	1	3/16			1/8	3/2	427	ben			
48	48	1587/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16			1/16	1	428	son			
48	48	397	2.0	1/4	1/4	Chord	4/4	3	1	1/2			1/2	1	429	ma-			
48	48	399	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	430	gro e			
48	48	396	4.0	0	0	Chord	4/4	4	1	1			1	1	431				
49	49	400	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	432	ben			
49	49	1603/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	433	son			
49	49	401	2.0	1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	434	ma-			
49	49	403	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	435	gro e			
49	49	400	0.75	0	0	Chord	4/4	2	1	3/16			1/8	3/2	436	ben			
49	49	1603/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	437	son			
49	49	401	2.0	1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	438	ma-			
49	49	403	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	439	gro e			
49	49	400	4.0	0	0	Chord	4/4	3	1	1			1	1	440	pal-			
49	49	400	4.0	0	0	Chord	4/4	4	1	1			1	1	441				
50	50	404	3.0	0	0	Chord	4/4	1	1	3/4			1/2	3/2	442	pal-			
50	50	407	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	443	li-			
50	50	404	3.0	0	0	Chord	4/4	2	1	3/4			1/2	3/2	444	pal-			
50	50	407	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	445	li-			
50	50	404	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	446	-			
50	50	406	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	447	li-			
50	50	404	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	448				
50	50	406	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	449				
51	51	408	4.0	0	0	Chord	4/4	1	1	1			1	1	450	do			
51	51	408	4.0	0	0	Chord	4/4	2	1	1			1	1	451	do			
51	51	408	4.0	0	0	Chord	4/4	3	1	1			1	1	452	do			
51	51	408	4.0	0	0	Chord	4/4	4	1	1			1	1	453				
52	52	412	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	454	Quel-			
52	52	414	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	455	le			
52	52	829/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	456	mie			
52	52	415	0.75	3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	457	cal-			
52	52	1663/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	458	de			
52	52	412	4.0	0	0	Chord	4/4	4	1	1			1	1	459				
53	53	416	0.75	0	0	Chord	4/4	2	1	3/16			1/8	3/2	460	la-			
53	53	1667/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	461	gri-			
53	53	417	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	462	me			
53	53	837/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	463	che			
53	53	419	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	464	da			
53	53	839/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	465	que-			
53	53	416	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	466				
53	53	837/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	467				
53	53	419	0.5	3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	468				
53	53	839/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	469				
54	54	420	0.75	0	0	Chord	4/4	2	1	3/16			1/8	3/2	470	st'oc-			
54	54	1683/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	471	chi o-			
54	54	421	1.5	1/4	1/4	Chord	4/4	2	1	3/8			1/4	3/2	472	gn'hor			
54	54	845/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	473	si			
54	54	423	0.75	3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	474	veg-			
54	54	1695/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	475	gon			
54	54	420	4.0	0	0	Chord	4/4	4	1	1			1	1	476				
55	55	424	0.75	0	0	Chord	4/4	2	1	3/16			1/8	3/2	477	pio-			
55	55	1699/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	478	ve-			
55	55	425	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	479	re			
55	55	424	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	480				
56	56	428	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	481	han			
56	56	429	1.5	1/4	1/4	Chord	4/4	2	1	3/8			1/4	3/2	482	for-			
56	56	861/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	483	za			
56	56	431	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	484	di			
56	56	863/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	485	com-			
56	56	428	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	486	Que-			
56	56	430	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	487	ste			
56	56	861/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	488	mie			
56	56	431	0.75	3/4	3/4	Chord	4/4	3	1	3/16			1/8	3/2	489	cal-			
56	56	1727/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16			1/16	1	490	de			
56	56	428	3.0	0	0	Chord	4/4	4	1	3/4			1/2	3/2	491				
56	56	431	0.75	3/4	3/4	Chord	4/4	4	1	3/16			1/8	3/2	492				
56	56	1727/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16			1/16	1	493				
57	57	432	0.75	0	0	Chord	4/4	2	1	3/16			1/8	3/2	494	mo-			
57	57	1731/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	495	ve-			
57	57	433	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	496	re			
57	57	869/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	497	o-			
57	57	435	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	498	gni			
57	57	871/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	499	più			
57	57	432	0.75	0	0	Chord	4/4	3	1	3/16			1/8	3/2	500	la-			
57	57	1731/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16			1/16	1	501	gri-			
57	57	433	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	502	me			
57	57	869/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	503	che			
57	57	435	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	504	da			
57	57	871/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	505	que-			
57	57	432	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	506				
57	57	869/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	507				
57	57	435	0.5	3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	508				
57	57	871/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	509				
58	58	436	1.5	0	0	Chord	4/4	2	1	3/8			1/4	3/2	510	du-			
58	58	875/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	511	ro			
58	58	438	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	512	cor			
58	58	436	0.75	0	0	Chord	4/4	3	1	3/16			1/8	3/2	513	st'oc-			
58	58	1747/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16			1/16	1	514	chi o-			
58	58	437	1.5	1/4	1/4	Chord	4/4	3	1	3/8			1/4	3/2	515	gn'hor			
58	58	877/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	516	si			
58	58	439	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	517	veg-			
58	58	879/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	518	gon			
58	58	436	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	519				
58	58	437	2.0	1/4	1/4	Chord	4/4	4	1	1/2			1/2	1	520				
58	58	439	0.75	3/4	3/4	Chord	4/4	4	1	3/16			1/8	3/2	521				
58	58	1759/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16			1/16	1	522				
59	59	885/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	523	o-			
59	59	443	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	524	gni			
59	59	887/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	525	più			
59	59	440	0.75	0	0	Chord	4/4	3	1	3/16			1/8	3/2	526	pio-			
59	59	1763/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16			1/16	1	527	ve-			
59	59	441	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	528	re			
59	59	440	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	529				
59	59	442	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	530				
60	60	444	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	531	Que-			
60	60	446	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	532	ste			
60	60	893/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	533	mie			
60	60	447	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	534	cal-			
60	60	1791/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	535	de			
60	60	444	3.0	0	0	Chord	4/4	2	1	3/4			1/2	3/2	536	du-			
60	60	447	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	537	ro			
60	60	444	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	538	han			
60	60	445	1.5	1/4	1/4	Chord	4/4	3	1	3/8			1/4	3/2	539	for-			
60	60	893/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	540	za			
60	60	447	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	541	di			
60	60	895/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	542	com-			
60	60	444	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	543				
60	60	445	2.0	1/4	1/4	Chord	4/4	4	1	1/2			1/2	1	544				
60	60	447	0.5	3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	545				
60	60	895/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	546				
61	61	448	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	547	la-			
61	61	1795/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	548	gri-			
61	61	449	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	549	me			
61	61	901/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	550	che			
61	61	451	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	551	da			
61	61	903/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	552	que-			
61	61	448	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	553	cor			
61	61	901/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	554	qpie-			
61	61	451	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	555	ta-			
61	61	448	0.75	0	0	Chord	4/4	3	1	3/16			1/8	3/2	556	mo-			
61	61	1795/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16			1/16	1	557	ve-			
61	61	449	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	558	re			
61	61	901/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	559	o-			
61	61	451	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	560	gni			
61	61	903/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	561	più			
61	61	448	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	562				
61	61	901/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	563				
61	61	451	0.5	3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	564				
61	61	903/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	565				
62	62	452	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	566	st'oc-			
62	62	1811/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	567	chi o-			
62	62	453	1.5	1/4	1/4	Chord	4/4	1	1	3/8			1/4	3/2	568	gn'hor			
62	62	909/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	569	si			
62	62	455	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	570	veg-			
62	62	911/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	571	gon			
62	62	452	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	572	-			
62	62	453	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	573	to e			
62	62	454	0.75	1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	574	ri-			
62	62	1819/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	575	gi-			
62	62	455	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	576	do			
62	62	452	1.5	0	0	Chord	4/4	3	1	3/8			1/4	3/2	577	du-			
62	62	907/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	578	ro			
62	62	454	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	579	cor			
62	62	452	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	580				
62	62	454	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	581				
63	63	456	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	582	pio-			
63	63	1827/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	583	ve-			
63	63	457	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	584	re			
63	63	913/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	585	o-			
63	63	457	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	586	gni			
63	63	915/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	587	più			
63	63	458	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	588	du-			
63	63	456	0.5	0	0	Chord	4/4	4	1	1/8			1/8	1	589				
63	63	913/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	590				
63	63	457	0.5	1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	591				
63	63	915/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	592				
63	63	458	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	593				
64	64	460	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	594	han			
64	64	461	1.5	1/4	1/4	Chord	4/4	1	1	3/8			1/4	3/2	595	for-			
64	64	925/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	596	za			
64	64	463	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	597	di			
64	64	927/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	598	com-			
64	64	460	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	599	han			
64	64	461	1.5	1/4	1/4	Chord	4/4	2	1	3/8			1/4	3/2	600	for-			
64	64	925/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	601	za			
64	64	463	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	602	di			
64	64	927/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	603	com-			
64	64	460	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	604	-			
64	64	461	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	605	ro			
64	64	462	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	606	cor			
64	64	460	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	607				
64	64	461	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	608				
64	64	462	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	609				
65	65	464	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	610	mo-			
65	65	1859/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	611	ve-			
65	65	465	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	612	re			
65	65	933/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	613	o-			
65	65	467	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	614	gni			
65	65	935/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	615	più			
65	65	464	0.75	0	0	Chord	4/4	2	1	3/16			1/8	3/2	616	mo-			
65	65	1859/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	617	ve-			
65	65	465	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	618	re			
65	65	933/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	619	o-			
65	65	467	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	620	gni			
65	65	935/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	621	più			
65	65	929/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	622	spie-			
65	65	465	2.0	1/4	1/4	Chord	4/4	3	1	1/2			1/2	1	623	ta-			
65	65	467	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	624	to e			
65	65	464	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	625				
65	65	465	2.0	1/4	1/4	Chord	4/4	4	1	1/2			1/2	1	626				
65	65	467	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	627				
66	66	468	1.5	0	0	Chord	4/4	1	1	3/8			1/4	3/2	628	du-			
66	66	939/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	629	ro			
66	66	470	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	630	cor			
66	66	468	1.5	0	0	Chord	4/4	2	1	3/8			1/4	3/2	631	du-			
66	66	939/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	632	ro			
66	66	470	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	633	cor			
66	66	468	1.5	0	0	Chord	4/4	3	1	3/8			1/4	3/2	634	ri-			
66	66	939/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	635	gi-			
66	66	470	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	636	do			
66	66	468	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	637				
66	66	470	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	638				
67	67	945/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	639	o-			
67	67	473	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	640	gni			
67	67	947/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	641	più			
67	67	474	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	642	du-			
67	67	945/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	643	o-			
67	67	473	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	644	gni			
67	67	947/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	645	più			
67	67	474	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	646	du-			
67	67	945/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	647	o-			
67	67	473	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	648	gni			
67	67	947/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	649	più			
67	67	474	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	650	du-			
67	67	472	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	651				
67	67	474	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	652				
68	68	476	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	653	-			
68	68	953/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	654	ro			
68	68	477	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	655	cor			
